Unique ID,CG Number,E01,E12,E14,E15,E16,E17,E18,E20,A82,A84,A95,A131,A186,A377,A384,A398,avg_E,avg_A,log2FC,submitted_id,FBgn_ID
INC126E01,CG7695,1.05466,1.83856,2.82878,2.99517,2.56249,2.59669,2.7437,4.34088,1.22674,1.44803,2.30759,1,2.44424,1.97644,2.07109,3.16209,2.62011625,1.9545275,-0.42281094,CG7695,FBgn0038631
INC127B04,CG7707,1.00338,1.65867,1.55421,1.66199,1.50949,1.39554,1.41933,1.00819,1.50588,1,1.55988,1.00628,1.42609,1.25203,1.27167,1.59365,1.40135,1.326935,-0.078719625,CG7707,FBgn0036703
INC075C03,CG7716,1.69263,1.33607,1.28937,1.31813,1.7119,1.28642,1.50466,1.02413,1.39698,1.48147,1.73203,1.18827,1.24081,1.29402,1.30643,1,1.39541375,1.33000125,-0.069265353,CG7716,FBgn0035800
INC051A04,CG7717,1,1.24229,2.78085,1.13955,1.36592,1.60494,1.85624,1.98446,1.76013,1.8629,1.22714,1.4224,1.53678,1.37787,1.81339,1.51269,1.62178125,1.5641625,-0.052188837,CG7717,FBgn0024329
INC009A11,CG7720,1,1.26336,1.27395,1.44722,1.49305,2.30298,3.59562,1.33255,1.54089,2.0615,1.31936,1.89418,1.48813,2.43736,1.72495,2.19863,1.71359125,1.833125,0.097282148,CG7720,FBgn0038652
INC116C04,CG7725,1.47321,1.40671,2.09837,1.64732,1.04509,1.20793,1.25249,1.32004,1.25997,1.9139,1.5303,1,1.54374,1.01502,1.37404,1.57337,1.431395,1.4012925,-0.030663716,CG7725,FBgn0036697
INC137G06,CG7726,1,1.11436,1.05875,1.06241,1.1434,1.04072,1.06111,1.16965,1.08196,1.06255,1.28767,1.04683,1.14184,1.08328,1.02122,1.00515,1.0813,1.0913125,0.013297435,CG7726,FBgn0013325
INC044E12,CG7727,1.81921,1.52068,1.68984,1.35162,1.27459,1.31887,1.44384,1.37795,1.58421,1.44334,1.09967,1.4245,1,1.72383,1.55257,1.07206,1.474575,1.3625225,-0.114019149,CG7727,FBgn0000108
INC001G07,CG7736,1.05564,1.10259,1.84044,1.07528,1.12585,1.28688,1.26932,1.59275,1.1832,1,1.08694,1.37537,1.14696,1.27983,1.02864,1.3025,1.29359375,1.17543,-0.138195988,CG7736,FBgn0037084
INC116E05,CG7738,1.04362,1.29782,1.29999,1.23879,1.31512,1.35356,1.09743,3.55742,2.01079,1.02595,1,1.22943,1.38533,1.1998,1.39234,1.38053,1.52546875,1.32802125,-0.199974394,CG7738,FBgn0085256
INC156F06,CG7739,1.09208,1.32939,1.56342,1.41788,1.61798,1.41087,1,1.21117,1.31429,1.4802,1.4674,1.35142,1.38398,1.11733,1.16081,2.21285,1.33034875,1.436035,0.110286415,CG7739,FBgn0036509
INC084H12,CG7740,1.32298,1.31295,1.33301,1.27187,1.17003,1.17599,1.36971,1.52231,1.19863,1.31128,1.39573,1.15067,1,1.2096,1.06125,1.19882,1.30985625,1.1907475,-0.137540972,CG7740,FBgn0026189
INC050H04,CG7742,1.13593,1.98192,1.04581,1.14336,1.45231,1.04798,1.26021,1.26802,1.495,1.23822,1.47825,1.40379,1,1.13311,1.01108,1.32675,1.2919425,1.260775,-0.035231029,CG7742,FBgn0031690
INC051C12,CG7745,1.44162,1,1.78608,1.22414,1.92279,2.18008,1.57789,1.67002,1.44686,1.41544,1.85995,1.80022,1.72494,1.81982,1.60215,1.54759,1.6003275,1.65212125,0.045952394,CG7745,FBgn0033616
INC074C02,CG7748,1.45321,1.2456,1.41393,1.11731,1.41487,1.42646,1.22885,1.52053,1,2.62102,1.04234,1.1943,1.17657,1.00759,1.1482,1.34661,1.352595,1.31707875,-0.038388317,CG7748,FBgn0011336
INC051H11,CG7755,1.43171,1,1.39332,1.77989,1.41968,1.60092,1.67098,1.60259,2.15926,1.72915,1.80944,2.27639,1.88772,2.41807,1.76519,4.87994,1.48738625,2.365645,0.669454252,CG7755,FBgn0034105
INC018B12,CG7756,1.41217,1.25714,1.33606,1.15807,1.03731,1.13944,1.27777,1.10589,1.10565,1.25016,1.4412,1.03312,1.23202,1.15444,1.02349,1,1.21548125,1.15501,-0.073622296,CG7756,FBgn0001217
INC026F01,CG7757,1,1.16168,1.25909,1.16562,1.08925,1.18773,1.21905,1.25594,1.26915,1.14858,1.63802,1.40797,1.51359,1.3074,1.49083,1.3503,1.167295,1.39073,0.252673152,CG7757,FBgn0036915
INC141E02,CG7758,1,1.40928,1.31093,1.21653,1.57987,1.3528,1.29886,1.0504,1.35555,1.45691,2.2138,1.14763,1.61873,1.42126,1.65081,1.11617,1.27733375,1.4976075,0.229524034,CG7758,FBgn0027945
INC117G01,CG7762,1.71271,1.47064,1.28474,1.26577,1.11668,1.64945,1.31198,1.17172,1.10282,1.26296,1.35663,1.34442,1.06109,1.19099,1.12729,1,1.37296125,1.180775,-0.217556827,CG7762,FBgn0028695
INC011H06,CG7766,1.16868,1,1.15108,1.25637,1.44157,1.34877,1.19815,1.27463,1.42662,1.50643,1.46987,1.36993,1.26907,1.26987,1.39046,1.55942,1.22990625,1.40770875,0.194800526,CG7766,FBgn0030087
INC097H02,CG7768,1.12785,1.26391,1.08936,1.27072,1.23445,1.25394,1.46198,1.22126,1.54684,1.22596,1.93608,1.09379,1.39526,1,1.10641,1.29534,1.24043375,1.32496,0.095104121,CG7768,FBgn0036415
INC140B11,CG7770,1,1.64403,1.65298,1.60332,1.61453,1.26393,1.44415,1.35661,1.51259,1.7677,1.712,1.25777,1.52161,1.03901,1.16252,1.4037,1.44744375,1.4221125,-0.025471686,CG7770,FBgn0036918
INC128B11,CG7772,1.35967,1.53268,1,1.71368,1.99507,1.36786,1.48416,1.28285,1.44962,1.11879,1.16671,1.43586,1.59539,1.55111,1.4513,1.86059,1.46699625,1.45367125,-0.013164145,CG7772,FBgn0030883
